Algoritmo,Cenario,TempoExecucao
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1231
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2250
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,375514
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1438
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1236
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2235
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,382036
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1550
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1289
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2266
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,374092
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1886
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1311
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2303
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,372092
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1522
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1407
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2419
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,378220
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1448
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1214
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2282
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,376054
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1454
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1206
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2139
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,370383
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1828
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1369
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2625
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,373186
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1464
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1223
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2126
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,371011
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1428
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1207
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2111
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,370047
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1423
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1203
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2121
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,393783
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1479
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1279
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2164
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,370580
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1428
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1359
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2242
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,371566
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1535
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1304
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2335
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,372899
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1444
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1269
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2217
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,377095
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1728
